Location,Latitude,Longitude,SensorName
santamonica,34.0194,-118.4912,Max's House
santamonica,34.0259,-118.5018,Building 9
longbeach,33.7690,-118.1915,CCA 6th Fl Ocean Blvd and Hart AGL
longbeach,33.7817,-118.1856,SCSB_46
longbeach,33.7845,-118.2168,WindhamAQ
dtla,34.0522,-118.2437,3rd and Broadway
